OBJECTID,LIEN_WWW
"1",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5751
"2",https://ge.ch/terextraitfoncier/rapport.aspx?commune=7&parcelle=8111
"3",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5509
"4",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4165
"5",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=2971
"6",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5603
"7",https://ge.ch/terextraitfoncier/rapport.aspx?commune=9&parcelle=2906
"8",https://ge.ch/terextraitfoncier/rapport.aspx?commune=19&parcelle=4727
"9",https://ge.ch/terextraitfoncier/rapport.aspx?commune=7&parcelle=8330
"10",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=3803
"11",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=3973
"12",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=4782
"13",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5704
"14",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5703
"15",https://ge.ch/terextraitfoncier/rapport.aspx?commune=34&parcelle=2278
"16",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4230
"17",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5440
"18",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4284
"19",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4306
"20",https://ge.ch/terextraitfoncier/rapport.aspx?commune=22&parcelle=3505
"21",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5359
"22",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=4769
"23",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=419
"24",https://ge.ch/terextraitfoncier/rapport.aspx?commune=22&parcelle=3534
"25",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=7162
"26",https://ge.ch/terextraitfoncier/rapport.aspx?commune=22&parcelle=3533
"27",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=3267
"28",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=1498
"29",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=3314
"30",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=2135
"31",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=488
"32",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=3268
"33",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=3263
"34",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5619
"35",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=487
"36",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=3264
"37",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3351
"38",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5333
"39",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5331
